Date_(M/D/Y),Experiment_Day,Jar_#,Jar_ID,Temperature_Cycle,Temperature_Cycle_Day,Temperature_Cycle_Total_Days,Temperature_Cycle_Number,Temperature_C,Enrichment_(gPP/L),Sample_Volume_(mL),Dilution_Volume_(mL),Sub_Sample_Volume_(mL),E.patella_abundance_(#protists),Diluted_E.patella_(yes/no),T.pyriformis_abundance_(#protists),Diluted_T.pyriformis_(yes/no),E.patella_Density_(#protists/mL),T.pyriformis_Density_(#protists/mL)
06/10/20,1,40,CLT4,C,2,24,1,22,0.1,0.3,8.0,0.3,N/A,N/A,20,YES,N/A,1844.444444
06/11/20,2,68,DHE1,D,3,28,1,22,0.4,0.3,0.0,N/A,36,NO,0,NO,120,0
06/11/20,2,69,DHE2,D,3,28,1,22,0.4,0.3,0.0,N/A,35,NO,3,NO,116.6666667,10
06/11/20,2,70,DHE3,D,3,28,1,22,0.4,0.3,8.0,0.3,2,NO,55,YES,6.666666667,5072.222222
06/11/20,2,71,DHE4,D,3,28,1,22,0.4,0.3,8.0,0.3,0,NO,43,YES,0,3965.555556
06/11/20,2,72,DHE5,D,3,28,1,22,0.4,0.3,10.0,0.3,0,NO,39,YES,0,4463.333333
06/11/20,2,64,DHT1,D,3,28,1,22,0.4,0.3,10.0,0.3,N/A,N/A,43,YES,N/A,4921.111111
06/11/20,2,65,DHT2,D,3,28,1,22,0.4,0.3,10.0,0.3,N/A,N/A,44,YES,N/A,5035.555556
06/11/20,2,66,DHT3,D,3,28,1,22,0.4,0.3,10.0,0.3,N/A,N/A,39,YES,N/A,4463.333333
06/11/20,2,67,DHT4,D,3,28,1,22,0.4,0.3,10.0,0.3,N/A,N/A,51,YES,N/A,5836.666667
06/11/20,2,59,DLE1,D,3,28,1,22,0.1,0.3,0.0,N/A,4,NO,0,NO,13.33333333,0
06/11/20,2,60,DLE2,D,3,28,1,22,0.1,0.3,0.0,N/A,9,NO,1,NO,30,3.333333333
06/11/20,2,61,DLE3,D,3,28,1,22,0.1,0.3,2.0,0.3,2,NO,18,YES,6.666666667,460
06/11/20,2,62,DLE4,D,3,28,1,22,0.1,0.3,2.0,0.3,1,NO,42,YES,3.333333333,1073.333333
06/11/20,2,63,DLE5,D,3,28,1,22,0.1,0.3,5.0,0.3,1,NO,21,YES,3.333333333,1236.666667
06/11/20,2,55,DLT1,D,3,28,1,22,0.1,0.3,8.0,0.3,N/A,N/A,32,YES,N/A,2951.111111
06/11/20,2,56,DLT2,D,3,28,1,22,0.1,0.3,8.0,0.3,N/A,N/A,20,YES,N/A,1844.444444
06/11/20,2,57,DLT3,D,3,28,1,22,0.1,0.3,8.0,0.3,N/A,N/A,27,YES,N/A,2490
06/11/20,2,58,DLT4,D,3,28,1,22,0.1,0.3,8.0,0.3,N/A,N/A,19,YES,N/A,1752.222222
06/11/20,2,86,EHE1,E,3,32,1,22,0.4,0.3,0.0,N/A,22,NO,0,NO,73.33333333,0
06/11/20,2,87,EHE2,E,3,32,1,22,0.4,0.3,0.0,N/A,37,NO,0,NO,123.3333333,0
06/11/20,2,88,EHE3,E,3,32,1,22,0.4,0.3,8.0,0.3,6,NO,47,YES,20,4334.444444
06/11/20,2,89,EHE4,E,3,32,1,22,0.4,0.3,8.0,0.3,0,NO,41,YES,0,3781.111111
06/11/20,2,90,EHE5,E,3,32,1,22,0.4,0.3,10.0,0.3,0,NO,33,YES,0,3776.666667
06/11/20,2,82,EHT1,E,3,32,1,22,0.4,0.3,10.0,0.3,N/A,N/A,52,YES,N/A,5951.111111
06/11/20,2,83,EHT2,E,3,32,1,22,0.4,0.3,10.0,0.3,N/A,N/A,59,YES,N/A,6752.222222
06/11/20,2,84,EHT3,E,3,32,1,22,0.4,0.3,10.0,0.3,N/A,N/A,56,YES,N/A,6408.888889
06/11/20,2,85,EHT4,E,3,32,1,22,0.4,0.3,10.0,0.3,N/A,N/A,42,YES,N/A,4806.666667
06/11/20,2,77,ELE1,E,3,32,1,22,0.1,0.3,0.0,N/A,15,NO,0,NO,50,0
06/11/20,2,78,ELE2,E,3,32,1,22,0.1,0.3,5.0,0.3,10,NO,36,YES,33.33333333,2120
06/11/20,2,79,ELE3,E,3,32,1,22,0.1,0.3,5.0,0.3,0,NO,39,YES,0,2296.666667
06/11/20,2,80,ELE4,E,3,32,1,22,0.1,0.3,8.0,0.3,0,NO,39,YES,0,3596.666667
06/11/20,2,81,ELE5,E,3,32,1,22,0.1,0.3,5.0,0.3,0,NO,24,YES,0,1413.333333
06/11/20,2,73,ELT1,E,3,32,1,22,0.1,0.3,8.0,0.3,N/A,N/A,21,YES,N/A,1936.666667
06/11/20,2,74,ELT2,E,3,32,1,22,0.1,0.3,8.0,0.3,N/A,N/A,12,YES,N/A,1106.666667
06/11/20,2,75,ELT3,E,3,32,1,22,0.1,0.3,8.0,0.3,N/A,N/A,16,YES,N/A,1475.555556
06/11/20,2,76,ELT4,E,3,32,1,22,0.1,0.3,8.0,0.3,N/A,N/A,15,YES,N/A,1383.333333
06/11/20,2,104,FHE1,F,3,36,1,22,0.4,0.3,0.0,N/A,13,NO,0,NO,43.33333333,0
06/11/20,2,105,FHE2,F,3,36,1,22,0.4,0.3,0.0,N/A,21,NO,0,NO,70,0
06/11/20,2,106,FHE3,F,3,36,1,22,0.4,0.3,8.0,0.3,1,NO,42,YES,3.333333333,3873.333333
06/11/20,2,107,FHE4,F,3,36,1,22,0.4,0.3,8.0,0.3,0,NO,51,YES,0,4703.333333
06/11/20,2,108,FHE5,F,3,36,1,22,0.4,0.3,10.0,0.3,0,NO,37,YES,0,4234.444444
06/11/20,2,100,FHT1,F,3,36,1,22,0.4,0.3,10.0,0.3,N/A,N/A,58,YES,N/A,6637.777778
06/11/20,2,101,FHT2,F,3,36,1,22,0.4,0.3,10.0,0.3,N/A,N/A,61,YES,N/A,6981.111111
06/11/20,2,102,FHT3,F,3,36,1,22,0.4,0.3,10.0,0.3,N/A,N/A,34,YES,N/A,3891.111111
06/11/20,2,103,FHT4,F,3,36,1,22,0.4,0.3,10.0,0.3,N/A,N/A,52,YES,N/A,5951.111111
06/11/20,2,95,FLE1,F,3,36,1,22,0.1,0.3,5.0,0.3,2,NO,31,YES,6.666666667,1825.555556
06/11/20,2,96,FLE2,F,3,36,1,22,0.1,0.3,0.0,N/A,1,NO,1,NO,3.333333333,3.333333333
06/11/20,2,97,FLE3,F,3,36,1,22,0.1,0.3,5.0,0.3,5,NO,36,YES,16.66666667,2120
06/11/20,2,98,FLE4,F,3,36,1,22,0.1,0.3,5.0,0.3,2,NO,24,YES,6.666666667,1413.333333
06/11/20,2,99,FLE5,F,3,36,1,22,0.1,0.3,5.0,0.3,0,NO,19,YES,0,1118.888889
06/11/20,2,91,FLT1,F,3,36,1,22,0.1,0.3,8.0,0.3,N/A,N/A,11,YES,N/A,1014.444444
06/11/20,2,92,FLT2,F,3,36,1,22,0.1,0.3,8.0,0.3,N/A,N/A,27,YES,N/A,2490
06/11/20,2,93,FLT3,F,3,36,1,22,0.1,0.3,8.0,0.3,N/A,N/A,26,YES,N/A,2397.777778
06/11/20,2,94,FLT4,F,3,36,1,22,0.1,0.3,8.0,0.3,N/A,N/A,27,YES,N/A,2490
06/12/20,3,14,AHE1,A,4,16,1,22,0.4,0.3,0.0,N/A,24,NO,0,NO,80,0
06/12/20,3,15,AHE2,A,4,16,1,22,0.4,0.3,0.0,N/A,27,NO,0,NO,90,0
06/12/20,3,16,AHE3,A,4,16,1,22,0.4,0.3,4.0,0.3,10,NO,23,YES,33.33333333,1098.888889
06/12/20,3,17,AHE4,A,4,16,1,22,0.4,0.3,6.0,0.3,1,NO,41,YES,3.333333333,2870
06/12/20,3,18,AHE5,A,4,16,1,22,0.4,0.3,6.0,0.3,1,NO,46,YES,3.333333333,3220
06/12/20,3,10,AHT1,A,4,16,1,22,0.4,0.3,10.0,0.3,N/A,N/A,41,YES,N/A,4692.222222
06/12/20,3,11,AHT2,A,4,16,1,22,0.4,0.3,10.0,0.3,N/A,N/A,53,YES,N/A,6065.555556
06/12/20,3,12,AHT3,A,4,16,1,22,0.4,0.3,10.0,0.3,N/A,N/A,32,YES,N/A,3662.222222
06/12/20,3,13,AHT4,A,4,16,1,22,0.4,0.3,10.0,0.3,N/A,N/A,46,YES,N/A,5264.444444
06/12/20,3,5,ALE1,A,4,16,1,22,0.1,0.3,0.0,N/A,9,NO,0,NO,30,0
06/12/20,3,6,ALE2,A,4,16,1,22,0.1,0.3,0.0,N/A,4,NO,0,NO,13.33333333,0
06/12/20,3,7,ALE3,A,4,16,1,22,0.1,0.3,0.0,N/A,2,NO,0,NO,6.666666667,0
06/12/20,3,8,ALE4,A,4,16,1,22,0.1,0.3,6.0,0.3,1,NO,40,YES,3.333333333,2800
06/12/20,3,9,ALE5,A,4,16,1,22,0.1,0.3,6.0,0.3,3,NO,13,YES,10,910
06/12/20,3,1,ALT1,A,4,16,1,22,0.1,0.3,8.0,0.3,N/A,N/A,20,YES,N/A,1844.444444
06/12/20,3,2,ALT2,A,4,16,1,22,0.1,0.3,8.0,0.3,N/A,N/A,26,YES,N/A,2397.777778
06/12/20,3,3,ALT3,A,4,16,1,22,0.1,0.3,8.0,0.3,N/A,N/A,24,YES,N/A,2213.333333
06/12/20,3,4,ALT4,A,4,16,1,22,0.1,0.3,8.0,0.3,N/A,N/A,36,YES,N/A,3320
06/12/20,3,32,BHE1,B,4,20,1,22,0.4,0.3,0.0,N/A,25,NO,0,NO,83.33333333,0
06/12/20,3,33,BHE2,B,4,20,1,22,0.4,0.3,0.0,N/A,28,NO,0,NO,93.33333333,0
06/12/20,3,34,BHE3,B,4,20,1,22,0.4,0.3,0.0,N/A,33,NO,0,NO,110,0
06/12/20,3,35,BHE4,B,4,20,1,22,0.4,0.3,6.0,0.3,4,NO,54,YES,13.33333333,3780
06/12/20,3,36,BHE5,B,4,20,1,22,0.4,0.3,6.0,0.3,0,NO,52,YES,0,3640
06/12/20,3,28,BHT1,B,4,20,1,22,0.4,0.3,10.0,0.3,N/A,N/A,47,YES,N/A,5378.888889
06/12/20,3,29,BHT2,B,4,20,1,22,0.4,0.3,10.0,0.3,N/A,N/A,41,YES,N/A,4692.222222
06/12/20,3,30,BHT3,B,4,20,1,22,0.4,0.3,10.0,0.3,N/A,N/A,61,YES,N/A,6981.111111
06/12/20,3,31,BHT4,B,4,20,1,22,0.4,0.3,10.0,0.3,N/A,N/A,54,YES,N/A,6180
06/12/20,3,23,BLE1,B,4,20,1,22,0.1,0.3,0.0,N/A,6,NO,0,NO,20,0
06/12/20,3,24,BLE2,B,4,20,1,22,0.1,0.3,0.0,N/A,2,NO,3,NO,6.666666667,10
06/12/20,3,25,BLE3,B,4,20,1,22,0.1,0.3,0.0,N/A,8,NO,0,NO,26.66666667,0
06/12/20,3,26,BLE4,B,4,20,1,22,0.1,0.3,2.0,0.3,8,NO,16,YES,26.66666667,408.8888889
06/12/20,3,27,BLE5,B,4,20,1,22,0.1,0.3,4.0,0.3,1,NO,40,YES,3.333333333,1911.111111
06/12/20,3,19,BLT1,B,4,20,1,22,0.1,0.3,8.0,0.3,N/A,N/A,24,YES,N/A,2213.333333
06/12/20,3,20,BLT2,B,4,20,1,22,0.1,0.3,8.0,0.3,N/A,N/A,21,YES,N/A,1936.666667
06/12/20,3,21,BLT3,B,4,20,1,22,0.1,0.3,8.0,0.3,N/A,N/A,17,YES,N/A,1567.777778
06/12/20,3,22,BLT4,B,4,20,1,22,0.1,0.3,8.0,0.3,N/A,N/A,24,YES,N/A,2213.333333
07/03/20,24,50,CHE1,C,1,24,2,22,0.4,0.3,6.0,0.3,2,NO,85,NO,6.666666667,283.3333333
07/06/20,27,50,CHE1,C,4,24,2,22,0.4,0.3,8.0,0.3,17,NO,42,YES,56.66666667,3873.333333
07/08/20,29,50,CHE1,C,6,24,2,22,0.4,0.3,0.0,N/A,27,NO,0,NO,90,0
07/10/20,31,50,CHE1,C,8,24,2,22,0.4,0.3,0.0,N/A,21,NO,0,NO,70,0
07/13/20,34,50,CHE1,C,11,24,2,22,0.4,0.3,0.0,N/A,0,NO,2,NO,0,6.666666667
06/12/20,3,46,CHT1,C,4,24,1,22,0.4,0.3,10.0,0.3,N/A,N/A,47,YES,N/A,5378.888889
06/12/20,3,47,CHT2,C,4,24,1,22,0.4,0.3,10.0,0.3,N/A,N/A,52,YES,N/A,5951.111111
06/12/20,3,48,CHT3,C,4,24,1,22,0.4,0.3,10.0,0.3,N/A,N/A,49,YES,N/A,5607.777778
06/12/20,3,49,CHT4,C,4,24,1,22,0.4,0.3,10.0,0.3,N/A,N/A,37,YES,N/A,4234.444444
07/15/20,36,50,CHE1,C,13,24,2,27,0.4,0.3,4.0,0.3,0,NO,33,YES,0,1576.666667
07/17/20,38,50,CHE1,C,15,24,2,27,0.4,0.3,6.0,0.3,0,NO,19,YES,0,1330
07/20/20,41,50,CHE1,C,18,24,2,27,0.4,0.3,2.0,0.3,0,NO,52,YES,0,1328.888889
07/22/20,43,50,CHE1,C,20,24,2,27,0.4,0.3,2.0,0.3,0,NO,38,YES,0,971.1111111
07/24/20,45,50,CHE1,C,22,24,2,27,0.4,0.3,4.0,0.3,0,NO,33,YES,0,1576.666667
06/12/20,3,37,CLT1,C,4,24,1,22,0.1,0.3,8.0,0.3,N/A,N/A,40,YES,N/A,3688.888889
06/12/20,3,38,CLT2,C,4,24,1,22,0.1,0.3,8.0,0.3,N/A,N/A,17,YES,N/A,1567.777778
06/12/20,3,39,CLT3,C,4,24,1,22,0.1,0.3,8.0,0.3,N/A,N/A,19,YES,N/A,1752.222222
06/12/20,3,40,CLT4,C,4,24,1,22,0.1,0.3,8.0,0.3,N/A,N/A,30,YES,N/A,2766.666667
06/13/20,4,68,DHE1,D,5,28,1,22,0.4,0.3,0.0,N/A,33,NO,0,NO,110,0
06/13/20,4,69,DHE2,D,5,28,1,22,0.4,0.3,0.0,N/A,41,NO,0,NO,136.6666667,0
06/13/20,4,70,DHE3,D,5,28,1,22,0.4,0.3,4.0,0.3,12,NO,59,YES,40,2818.888889
06/13/20,4,71,DHE4,D,5,28,1,22,0.4,0.3,4.0,0.3,5,NO,60,YES,16.66666667,2866.666667
06/13/20,4,72,DHE5,D,5,28,1,22,0.4,0.3,6.0,0.3,1,NO,64,YES,3.333333333,4480
06/13/20,4,64,DHT1,D,5,28,1,22,0.4,0.3,10.0,0.3,N/A,N/A,41,YES,N/A,4692.222222
06/13/20,4,65,DHT2,D,5,28,1,22,0.4,0.3,10.0,0.3,N/A,N/A,46,YES,N/A,5264.444444
06/13/20,4,66,DHT3,D,5,28,1,22,0.4,0.3,10.0,0.3,N/A,N/A,35,YES,N/A,4005.555556
06/13/20,4,67,DHT4,D,5,28,1,22,0.4,0.3,10.0,0.3,N/A,N/A,49,YES,N/A,5607.777778
06/13/20,4,59,DLE1,D,5,28,1,22,0.1,0.3,0.0,N/A,2,NO,0,NO,6.666666667,0
06/13/20,4,60,DLE2,D,5,28,1,22,0.1,0.3,0.0,N/A,11,NO,0,NO,36.66666667,0
06/13/20,4,61,DLE3,D,5,28,1,22,0.1,0.3,0.0,N/A,8,NO,0,NO,26.66666667,0
06/13/20,4,62,DLE4,D,5,28,1,22,0.1,0.3,0.0,N/A,6,NO,3,NO,20,10
06/13/20,4,63,DLE5,D,5,28,1,22,0.1,0.3,4.0,0.3,3,NO,31,YES,10,1481.111111
06/13/20,4,55,DLT1,D,5,28,1,22,0.1,0.3,8.0,0.3,N/A,N/A,33,YES,N/A,3043.333333
06/13/20,4,56,DLT2,D,5,28,1,22,0.1,0.3,8.0,0.3,N/A,N/A,21,YES,N/A,1936.666667
06/13/20,4,57,DLT3,D,5,28,1,22,0.1,0.3,8.0,0.3,N/A,N/A,25,YES,N/A,2305.555556
06/13/20,4,58,DLT4,D,5,28,1,22,0.1,0.3,8.0,0.3,N/A,N/A,19,YES,N/A,1752.222222
06/13/20,4,86,EHE1,E,5,32,1,22,0.4,0.3,0.0,0.3,30,NO,0,NO,100,0
06/13/20,4,87,EHE2,E,5,32,1,22,0.4,0.3,0.0,0.3,38,NO,0,NO,126.6666667,0
06/13/20,4,88,EHE3,E,5,32,1,22,0.4,0.3,0.0,0.3,23,NO,0,NO,76.66666667,0
06/13/20,4,89,EHE4,E,5,32,1,22,0.4,0.3,4.0,0.3,8,NO,58,YES,26.66666667,2771.111111
06/13/20,4,90,EHE5,E,5,32,1,22,0.4,0.3,6.0,0.3,3,NO,84,YES,10,5880
06/13/20,4,82,EHT1,E,5,32,1,22,0.4,0.3,10.0,0.3,N/A,N/A,44,YES,N/A,5035.555556
06/13/20,4,83,EHT2,E,5,32,1,22,0.4,0.3,10.0,0.3,N/A,N/A,48,YES,N/A,5493.333333
06/13/20,4,84,EHT3,E,5,32,1,22,0.4,0.3,10.0,0.3,N/A,N/A,34,YES,N/A,3891.111111
06/13/20,4,85,EHT4,E,5,32,1,22,0.4,0.3,10.0,0.3,N/A,N/A,50,YES,N/A,5722.222222
06/13/20,4,77,ELE1,E,5,32,1,22,0.1,0.3,0.0,N/A,22,NO,0,NO,73.33333333,0
06/13/20,4,78,ELE2,E,5,32,1,22,0.1,0.3,0.0,N/A,40,NO,0,NO,133.3333333,0
06/13/20,4,79,ELE3,E,5,32,1,22,0.1,0.3,0.0,N/A,14,NO,0,NO,46.66666667,0
06/13/20,4,80,ELE4,E,5,32,1,22,0.1,0.3,4.0,0.3,12,NO,38,YES,40,1815.555556
06/13/20,4,81,ELE5,E,5,32,1,22,0.1,0.3,2.0,0.3,2,NO,28,YES,6.666666667,715.5555556
06/13/20,4,73,ELT1,E,5,32,1,22,0.1,0.3,8.0,0.3,N/A,N/A,17,YES,N/A,1567.777778
06/13/20,4,74,ELT2,E,5,32,1,22,0.1,0.3,8.0,0.3,N/A,N/A,29,YES,N/A,2674.444444
06/13/20,4,75,ELT3,E,5,32,1,22,0.1,0.3,8.0,0.3,N/A,N/A,21,YES,N/A,1936.666667
06/13/20,4,76,ELT4,E,5,32,1,22,0.1,0.3,8.0,0.3,N/A,N/A,18,YES,N/A,1660
06/13/20,4,104,FHE1,F,5,36,1,22,0.4,0.3,0.0,N/A,32,NO,0,NO,106.6666667,0
06/13/20,4,105,FHE2,F,5,36,1,22,0.4,0.3,0.0,N/A,33,NO,0,NO,110,0
06/13/20,4,106,FHE3,F,5,36,1,22,0.4,0.3,2.0,0.3,11,NO,28,YES,36.66666667,715.5555556
06/13/20,4,107,FHE4,F,5,36,1,22,0.4,0.3,0.0,N/A,15,NO,1,NO,50,3.333333333
06/13/20,4,108,FHE5,F,5,36,1,22,0.4,0.3,6.0,0.3,4,NO,34,YES,13.33333333,2380
06/13/20,4,100,FHT1,F,5,36,1,22,0.4,0.3,10.0,0.3,N/A,N/A,46,YES,N/A,5264.444444
06/13/20,4,101,FHT2,F,5,36,1,22,0.4,0.3,10.0,0.3,N/A,N/A,59,YES,N/A,6752.222222
06/13/20,4,102,FHT3,F,5,36,1,22,0.4,0.3,10.0,0.3,N/A,N/A,39,YES,N/A,4463.333333
06/13/20,4,103,FHT4,F,5,36,1,22,0.4,0.3,10.0,0.3,N/A,N/A,41,YES,N/A,4692.222222
06/13/20,4,95,FLE1,F,5,36,1,22,0.1,0.3,0.0,N/A,14,NO,0,NO,46.66666667,0
06/13/20,4,96,FLE2,F,5,36,1,22,0.1,0.3,0.0,N/A,6,NO,0,NO,20,0
06/13/20,4,97,FLE3,F,5,36,1,22,0.1,0.3,0.0,N/A,21,NO,0,NO,70,0
06/13/20,4,98,FLE4,F,5,36,1,22,0.1,0.3,2.0,0.3,3,NO,36,YES,10,920
06/13/20,4,99,FLE5,F,5,36,1,22,0.1,0.3,4.0,0.3,3,NO,34,YES,10,1624.444444
06/13/20,4,91,FLT1,F,5,36,1,22,0.1,0.3,8.0,0.3,N/A,N/A,28,YES,N/A,2582.222222
06/13/20,4,92,FLT2,F,5,36,1,22,0.1,0.3,8.0,0.3,N/A,N/A,19,YES,N/A,1752.222222
06/13/20,4,93,FLT3,F,5,36,1,22,0.1,0.3,8.0,0.3,N/A,N/A,36,YES,N/A,3320
06/13/20,4,94,FLT4,F,5,36,1,22,0.1,0.3,8.0,0.3,N/A,N/A,23,YES,N/A,2121.111111
06/15/20,6,14,AHE1,A,7,16,1,22,0.4,0.3,0.0,N/A,40,NO,0,NO,133.3333333,0
06/15/20,6,15,AHE2,A,7,16,1,22,0.4,0.3,0.0,N/A,20,NO,0,NO,66.66666667,0
06/15/20,6,16,AHE3,A,7,16,1,22,0.4,0.3,0.0,N/A,30,NO,0,NO,100,0
06/15/20,6,17,AHE4,A,7,16,1,22,0.4,0.3,2.0,0.3,29,NO,51,YES,96.66666667,1303.333333
06/15/20,6,18,AHE5,A,7,16,1,22,0.4,0.3,6.0,0.3,6,NO,43,YES,20,3010
